,Job Title,Location,Date,Link,Job Attributes,Job Description
30,Clinician - UCC (Southeast Emergency Service Program),Fall River,Dec 10,https://boston.craigslist.org/gbs/npo/d/east-freetown-clinician-ucc-southeast/7244887105.html,"
compensation: $25.93 Hourly

employment type: full-time

non-profit organization

","

QR Code Link to This Post




Recognized by the Boston Globe as one of the Top Places To Work, Bay Cove Human Services is a private, not-for-profit corporation that provides a wide variety of services to individuals and their families who face the life-long challenges of developmental disabilities, aging, mental illness and drug and alcohol addiction. We have a wide variety of programs available to our clients including residential services, employment support, and day habilitation programs. Bay Cove's 2,000 highly trained employees serve more than 20,000 individuals and their families each year at more than 160 different program sites throughout Greater Boston and southeastern Massachusetts. 





Requisition #10236
Clinician - UCC (Southeast Emergency Service Program Fall River, Fall River)
Schedule: Monday-Friday
Salary: 25.93




Responsibilities:

Bay Cove Human Services, Inc., a leading Massachusetts human services organization seeks a Per-Diem Clinician to join us in our mission to provide high-quality services to adults who face the life-long challenges of developmental disabilities, mental illness and drug and alcohol dependency.The Clinician is mission driven individual, part of the BEST Urgent Care Mobile Team, that provides 24/7 coverage for fast-paced community crisis response in the Boston area.The Clinician will assess and coordinate stabilization services for adults and children who are experiencing a psychiatric emergency.Services will be delivered at the Urgent Care Center as well as where the client is at.We are looking for someone who strives to:
Challenge thinking.Be different.Lead change.Bay Cove is looking for people who are inspired and inspiring.You will:
Deliver Services  - The Clinician assesses client needs for services and develops a treatment plan that best ensures safety and effective resolution of the crisis at that point in time and until community services can be accessed.These services could be extended on-site at the Urgence Care Center, at the person’s home, group homes, detox programs, jails, and outpatient clinic settings.Build and Maintain Relationships  - Works with community based health, behavioral health and social services that can deliver urgently needed services to the client.Facilitates the person’s admission to acute treatment services as needed.Ensure a Safe Environment- Effectively work with clients their family members, police, community partners, and the Emergency Services Team in a professional, hopeful, and respectful manner to ensure the client’s safety.Provide Staff Coverage - Cover vacations, trainings and sick calls for regular staff.

Qualifications:

What you will need to bring:

Clinical Licensure - Independent licensure, LMHC or LICSW 

Track Record -  At least three years experience working in a mental health delivery system with demonstrated assessment and treatment skills in the provision of emergency services for children and adults.Licensure -Valid driver’s license.Language capacity - Bi-lingual/Bi-cultural preferred.Communication and adaptability skills - Demonstrated ability to work in pressured situations and maintain clarity, focus, judgement and compassion.crisis intervention - Demonstrated ability to de-escalate crises in a manner that ensures safety for all involved and provides for the best care and welfare of the person in crisis.Keywords:  healthcare, human services, mental health, psychiatric disabilities, substance abuse, addiction, therapy, recovery, crisis intervention, LICSW, LPHA, managed care, treatment supports, social services, treatment plans, assessments, Social Worker, Social Work, Mental Health Counselor, Mental Health Clinician,  Licensed Clinician, Community Mental Health
Driving License Required? Yes



Benefits:

Excellent benefits package including health and dental insurance, 403(b) retirement plan, tuition reimbursement/remission, paid vacation & holidays, sick time pay, and employee referral bonuses.



TO APPLY:

Apply online by going to https://www.baycove/org/apply/index.cfm?pid=10236.


Bay Cove Human Services, 66 Canal Street, Boston, MA 02114 


Bay Cove is an Equal Opportunity/Affirmative Action Employer
"
31,Community Discharge Specialist,Waltham,Dec 10,https://boston.craigslist.org/gbs/npo/d/waltham-community-discharge-specialist/7244788560.html,"
compensation: DOE

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a hard-working and compassionate individual to join its Interdisciplinary Team that assists residents of nursing facilities in returning to the community.
POSITION DESCRIPTION
The Community Discharge Specialist help residents of nursing facilities identify barriers to discharge and works with the resident, family, and nursing facility staff to overcome obstacles and assist with discharge planning.  Barriers to address may include housing, medication management, mental health issues or in-home services. The Discharge Specialist also assesses needs and eligibility for government subsidized services, creates care plans and coordinates services.  
Our ideal candidate will be committed to the philosophy of self-determination and support a consumer's choice in where to receive services.
QUALIFICATIONS
Bachelor's Degree required.  Degree in Social Work, human services, nursing, psychology, sociology or related field preferred. Candidates with a degree in another discipline must demonstrate experience and/or strong interest in the field of human services via previous employment, internship, volunteer activity and/or additional studies.
Strong desire to provide support to seniors and individuals with disabilities who want to transition from a nursing facility.
One year of experience transitioning individuals from a nursing facility or long-stay hospital to community-based settings preferred.
Private, reliable car and current driver's license
BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
COMPANY PROFILE 
At Springwell, we are serious about our mission. For more than 37 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1609200-143011 "
32,"Geriatric Services Support Coordinator, 55k/year",Waltham,Dec 10,https://boston.craigslist.org/gbs/npo/d/waltham-geriatric-services-support/7244785482.html,"
compensation: DOE

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Are you seeking a Case Management position? Come work for Springwell and support seniors who want to age-in-place in their own home. 
Pays $28.21/hr. ($55k annually).
POSITION DESCRIPTION 
Work collaboratively as part of an interdisciplinary team that provides in-home services to older adults and individuals with disabilities. The Social Worker will make home visits, conduct comprehensive assessments and participate in the development of person-centered care plans. 
Our ideal candidate will have a strong desire to work with seniors and individuals with disabilities, excellent organizational skills and be able manage constant change with a positive attitude.
QUALIFICATIONS
Bachelor's degree required.
Massachusetts Social Work license or 2 years experience working with older adults required.
The ability to establish and maintain professional relationships with consumers, family members, co-workers and community professionals.
The ability to work both independently and as part of a team.
A reliable car, current driver's license and safe driving record required.
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Flexible Work Options available after 6 months; alternate start time between 8:00 and 9:30 a.m., 4 day work week, 4.5 day work week, telecommuting work option, remote work option
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, and welcoming environment that values each and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, LICSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Telecommuting, Remote, Telecommuter, Telecommute, United Health Care, Tufts Health Plan, Commonwealth Care Alliance, Fallon Health, Navicare, GSSC, LTSC, SCO
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1609192-143011 "
33,Case Management Supervisor,Waltham,Dec 10,https://boston.craigslist.org/gbs/npo/d/waltham-case-management-supervisor/7244782622.html,"
compensation: DOE

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking an experienced Supervisor to join our growing leadership team. 
POSITION DESCRIPTION
The Supervisor provides regular administrative and clinical supervision and support to an interdisciplinary staff who assess needs, coordinate services and monitor services for seniors living at home. The Supervisor is responsible for training staff and reviewing care plans to ensure services meet consumer needs, are cost effective and provided in compliance with regulations.
QUALIFICATIONS
Bachelor's Degree required.
Master's Degree in Social Work or related field preferred.
Minimum of 2 years of experience in social services field.
Supervisory experience preferred.
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, and welcoming environment that values each and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, LICSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Council on Aging, Program Coordinator, Case Worker, Supervision, Supervisor, Supervisory
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1609183-143011 "
34,Inbound Helpline Counselor for National Nonprofit,Gloucester,Dec  8,https://boston.craigslist.org/nos/npo/d/gloucester-inbound-helpline-counselor/7243732136.html,"
compensation: Starting pay: $15/hr with 20-days-worked review, 40-days-worked review (and possible raise) and annual reviews thereafter.

employment type: full-time

","

QR Code Link to This Post


NeedyMeds, a national nonprofit and leading online resource dedicated to increasing public awareness about using healthcare assistance programs, is looking for people who are interested in making a difference in the lives of those who are seeking help managing healthcare expenses. If you are the kind of person who gets a sense of fulfillment in helping others, then you are the kind of person that this national nonprofit is seeking.

NeedyMeds offers information on many programs for people that need help paying for healthcare and prescription medication and runs a Call Center for specific programs and a Helpline for assisting callers looking for resources on NeedyMeds' website, NeedyMeds.org.

The position is for a full-time, in-office 40-hr./week Helpline Counselor. The Helpline Counselor position requires patience and willingness to listen to callers' situations while maintaining professional demeanor and finding resources on the NeedyMeds website (NeedyMeds.org) that will assist them with their healthcare expenses. The person will also occasionally add support for special projects.

Bilingual Spanish/English is a plus

Required skills are:
Excellent, current computer skills (Mac-based office)
Previous customer service or call center experience a plus
Friendly and professional phone decorum
Demonstrate courtesy, patience and understanding while handling calls from a wide demographic of people
Ability to successfully execute many complex tasks simultaneously
Comfort with working on databases
Comfort with repetitive tasks
Accuracy with information and data entry
Pleasant, positive demeanor
Ability to work as a team member, as well as independently
Reliable and dependable transportation
Excellent benefits

Interested applicants should email a cover letter and resume.
"
35,IBGLE Residential Program Director (Harbor House),Boston,Dec  7,https://boston.craigslist.org/gbs/npo/d/boston-ibgle-residential-program/7243228317.html,"
compensation: To Be Determined

employment type: full-time

","

QR Code Link to This Post




Recognized by the Boston Globe as one of the Top Places To Work, Bay Cove Human Services is a private, not-for-profit corporation that provides a wide variety of services to individuals and their families who face the life-long challenges of developmental disabilities, aging, mental illness and drug and alcohol addiction. We have a wide variety of programs available to our clients including residential services, employment support, and day habilitation programs. Bay Cove's 2,000 highly trained employees serve more than 20,000 individuals and their families each year at more than 160 different program sites throughout Greater Boston and southeastern Massachusetts. 






Requisition #10136
IBGLE Residential Program Director (Harbor House, Boston)
Schedule: Monday - Friday 8a-4p
Salary: TBD




Responsibilities:

Engage, build relationships, and empower Persons residing in the IBGLE to actively engage in services by identifying personal goals, determining motivators, and supporting individuals to improve health and wellness, strengthen self-management of symptoms, and pursue their personal goals.Conduct and document clinical assessment, safety and treatment planning, and implementation of interventions designed to assist Persons residing at the IBGLE to assist them in build skills, achieve their goals, and move towards greater independence.Responsively adjust the frequency, duration, and types of supports in to suit Persons’ changing needs, interests, and preferences.Actively collaborate with the IBGLE team and externally with Persons’ extended treatment teams, identified and authorized natural supports, and Care Coordination Entities in order to best support each Person.Oversee the hiring, training, scheduling, supervision, evaluation, and progressive disciplinary action process of all program staff including training staff regarding the effective implementation of clinical interventions.Facilitate financial and budgetary procedures including petty cash and payroll.Maintain accurate programmatic documentation such as time sheets, fire drills, incident reports, transportation logs, daily logs, service notes, safety plans, and any other documentation assigned.Ensure proper maintenance of the physical site in compliance with all state, federal, DMH, and Bay Cove regulations and requirements and that agency and regulatory standards are met and maintained, including inter-agency QA audits, CARF, DMH licensing, and MAP reviews.Provide crisis assessment, prevention, and needed intervention during the work day and while on-call on nights and weekends as scheduled.Utilize recovery-oriented language and principles in all communication and interactions with Persons, colleagues, and collaterals.

Qualifications:

LICSW, LCSW, LMHC, or other behavioral health category which qualifies as a Licensed Practitioner of the Healing Arts required.At least three years of related experience.Training and experience in the provision of substance abuse treatment preferred.At least one year of supervisory and management experience.Strong commitment to the right of each Person with mental health challenges to live in community residences, to work in market jobs, and to have access to helpful, adequate, competent, and continuous supports and services of their own choosing.Demonstrated professional communication and organizational skills.Demonstrated expertise in developing and writing assessments and treatment plans.Proficiency in word processing and other computer functions using Windows, Word, and Google Email and Apps.Department of Public Health certification in medication administration required within 3 months of hire.Flexibility to work evenings and weekends on an as needed basis.Ability to climb stairs and carry up to 40 pounds, as well as the physical capacity to assist people with mobility impairments as needed.Valid driver's license preferred 
Use of personal cell phone for work purposes.Bilingual candidates encouraged to apply.
Driving License Required? No



Benefits:

Excellent benefits package including health and dental insurance, 403(b) retirement plan, tuition reimbursement/remission, paid vacation & holidays, sick time pay, and employee referral bonuses.



TO APPLY:

Apply online by going to https://www.baycove/org/apply/index.cfm?pid=10136.


Bay Cove Human Services, 66 Canal Street, Boston, MA 02114 


Bay Cove is an Equal Opportunity/Affirmative Action Employer
"
36,IBAGLE Residential Program Director (Staniford Street),Boston,Dec  7,https://boston.craigslist.org/gbs/npo/d/boston-ibagle-residential-program/7243226171.html,"
compensation: To Be Determined

employment type: full-time

non-profit organization

","

QR Code Link to This Post




Recognized by the Boston Globe as one of the Top Places To Work, Bay Cove Human Services is a private, not-for-profit corporation that provides a wide variety of services to individuals and their families who face the life-long challenges of developmental disabilities, aging, mental illness and drug and alcohol addiction. We have a wide variety of programs available to our clients including residential services, employment support, and day habilitation programs. Bay Cove's 2,000 highly trained employees serve more than 20,000 individuals and their families each year at more than 160 different program sites throughout Greater Boston and southeastern Massachusetts. 






Requisition #10312
IBAGLE Residential Program Director (Staniford Street, Boston)
Schedule: Monday - Friday
Salary: TBD




Responsibilities:

Essential Functions of the Position:
-Engage, build relationships, and empower Persons residing in the IBGLE to actively engage in services by identifying personal goals, determining motivators, and supporting individuals to improve health and wellness, strengthen self-management of symptoms, and pursue their personal goals.-Conduct and document clinical assessment, safety and treatment planning, and implementation of interventions designed to assist Persons residing at the IBGLE to assist them in build skills, achieve their goals, and move towards greater independence.-Responsively adjust the frequency, duration, and types of supports in to suit Persons’ changing needs, interests, and preferences.-Actively collaborate with the IBGLE team and externally with Persons’ extended treatment teams, identified and authorized natural supports, and Care -Coordination Entities in order to best support each Person.-Oversee the hiring, training, scheduling, supervision, evaluation, and progressive disciplinary action process of all program staff including training staff regarding the effective implementation of clinical interventions.-Facilitate financial and budgetary procedures including petty cash and payroll.-Maintain accurate programmatic documentation such as time sheets, fire drills, incident reports, transportation logs, daily logs, service notes, safety plans, and any other documentation assigned.-Ensure proper maintenance of the physical site in compliance with all state, federal, DMH, and Bay Cove regulations and requirements and that agency and regulatory standards are met and maintained, including inter-agency QA audits, CARF, DMH licensing, and MAP reviews.-Provide crisis assessment, prevention, and needed intervention during the work day and while on-call on nights and weekends as scheduled.-Utilize recovery-oriented language and principles in all communication and interactions with Persons, colleagues, and collateral.

Qualifications:

-LICSW, LCSW, LMHC, or other behavioral health category which qualifies as a Licensed Practitioner of the Healing Arts required.-At least three years of related experience.-Training and experience in the provision of substance abuse treatment preferred.-At least one year of supervisory and management experience.-Strong commitment to the right of each Person with mental health challenges to live in community residences, to work in market jobs, and to have access to helpful, adequate, competent, and continuous supports and services of their own choosing.-Demonstrated professional communication and organizational skills.-Demonstrated expertise in developing and writing assessments and treatment plans.-Proficiency in word processing and other computer functions using Windows, Word, and Google Email and Apps.
Driving License Required? Yes



Benefits:

Excellent benefits package including health and dental insurance, 403(b) retirement plan, tuition reimbursement/remission, paid vacation & holidays, sick time pay, and employee referral bonuses.



TO APPLY:

Apply online by going to https://www.baycove/org/apply/index.cfm?pid=10312.


Bay Cove Human Services, 66 Canal Street, Boston, MA 02114 


Bay Cove is an Equal Opportunity/Affirmative Action Employer
"
37,Per Diem Clinician- LCSW/LICSW/LMHC-Southeast Emergency Service,Fall River,Dec  7,https://boston.craigslist.org/sob/npo/d/fall-river-per-diem-clinician-lcsw/7243224048.html,"
compensation: To Be Determined

employment type: part-time

non-profit organization

","

QR Code Link to This Post




Recognized by the Boston Globe as one of the Top Places To Work, Bay Cove Human Services is a private, not-for-profit corporation that provides a wide variety of services to individuals and their families who face the life-long challenges of developmental disabilities, aging, mental illness and drug and alcohol addiction. We have a wide variety of programs available to our clients including residential services, employment support, and day habilitation programs. Bay Cove's 2,000 highly trained employees serve more than 20,000 individuals and their families each year at more than 160 different program sites throughout Greater Boston and southeastern Massachusetts. 






Requisition #8820
Per Diem Clinician- LCSW/LICSW/LMHC (Southeast Emergency Service Program Fall River, Fall River)
Schedule: Per Diem
Salary: TBD




Responsibilities:

Bay Cove Human Services, Inc., a leading Massachusetts human services organization seeks a Per Diem Licensed Clinician to join us in our mission to provide high-quality services to adults who face the life-long challenges of developmental disabilities, mental illness and drug and alcohol dependency.The Per Diem Licensed Clinician is mission driven, with exceptional interpersonal and relationship building skills who will work with our Southeast Emergency Services Team in Fall River and the surrounding areas.The Per Diem Licensed Clinician will assess and coordinate stabilization services for adults and children who are experiencing a psychiatric emergency.The Clinician works as part of an Urgent Care Center that provides on site assessment and support, as well as mobile capacity to conduct assessments at the person’s home, school, or agency in the designated catchment area.S/he works as a partner in an integrated urgent care/emergency support services network.We are looking for someone who strives to: 
Challenge thinking.Be different.Lead change.Bay Cove is looking for people who are inspired and inspiring.You will: 
 
Provide direct services to children and adults in crisis.Assess each person’s needs for services and develops a treatment plan that best ensures for their safety and optimizes their effective resolution of the crisis.Facilitate the person’s engagement or re-engagement in behavioral health services through referral to community based services that are consonant with the person’s needs and preferences.As needed, the Clinician will facilitate the person’s admission to acute treatment services.

Qualifications:

What you will need to bring:
 
Licensed independent clinician in the state of MA, LICSW or LMHC - able to be credentialed at Steward Hospital.Experience in mental health and substance abuse with requisite competencies in adult, child and adolescent psychiatric assessment.Preference for Emergency Services experience and/or second language skills.
Driving License Required? No



Benefits:

Excellent benefits package including health and dental insurance, 403(b) retirement plan, tuition reimbursement/remission, paid vacation & holidays, sick time pay, and employee referral bonuses.



TO APPLY:

Apply online by going to https://www.baycove/org/apply/index.cfm?pid=8820.


Bay Cove Human Services, 66 Canal Street, Boston, MA 02114 


Bay Cove is an Equal Opportunity/Affirmative Action Employer
"
38,Clinician - UCC (Southeast Emergency Service Program),Fall River,Dec  7,https://boston.craigslist.org/sob/npo/d/fall-river-clinician-ucc-southeast/7243218670.html,"
compensation: $25.93 Hourly

employment type: full-time

non-profit organization

","

QR Code Link to This Post




Recognized by the Boston Globe as one of the Top Places To Work, Bay Cove Human Services is a private, not-for-profit corporation that provides a wide variety of services to individuals and their families who face the life-long challenges of developmental disabilities, aging, mental illness and drug and alcohol addiction. We have a wide variety of programs available to our clients including residential services, employment support, and day habilitation programs. Bay Cove's 2,000 highly trained employees serve more than 20,000 individuals and their families each year at more than 160 different program sites throughout Greater Boston and southeastern Massachusetts. 






Requisition #10236
Clinician - UCC (Southeast Emergency Service Program Fall River, Fall River)
Schedule: Monday-Friday
Salary: 25.93




Responsibilities:

Bay Cove Human Services, Inc., a leading Massachusetts human services organization seeks a Per-Diem Clinician to join us in our mission to provide high-quality services to adults who face the life-long challenges of developmental disabilities, mental illness and drug and alcohol dependency.The Clinician is mission driven individual, part of the BEST Urgent Care Mobile Team, that provides 24/7 coverage for fast-paced community crisis response in the Boston area.The Clinician will assess and coordinate stabilization services for adults and children who are experiencing a psychiatric emergency.Services will be delivered at the Urgent Care Center as well as where the client is at.We are looking for someone who strives to:
Challenge thinking.Be different.Lead change.Bay Cove is looking for people who are inspired and inspiring.You will:
Deliver Services  - The Clinician assesses client needs for services and develops a treatment plan that best ensures safety and effective resolution of the crisis at that point in time and until community services can be accessed.These services could be extended on-site at the Urgence Care Center, at the person’s home, group homes, detox programs, jails, and outpatient clinic settings.Build and Maintain Relationships  - Works with community based health, behavioral health and social services that can deliver urgently needed services to the client.Facilitates the person’s admission to acute treatment services as needed.Ensure a Safe Environment- Effectively work with clients their family members, police, community partners, and the Emergency Services Team in a professional, hopeful, and respectful manner to ensure the client’s safety.Provide Staff Coverage - Cover vacations, trainings and sick calls for regular staff.

Qualifications:

What you will need to bring:

Clinical Licensure - Independent licensure, LMHC or LICSW 

Track Record -  At least three years experience working in a mental health delivery system with demonstrated assessment and treatment skills in the provision of emergency services for children and adults.Licensure -Valid driver’s license.Language capacity - Bi-lingual/Bi-cultural preferred.Communication and adaptability skills - Demonstrated ability to work in pressured situations and maintain clarity, focus, judgement and compassion.crisis intervention - Demonstrated ability to de-escalate crises in a manner that ensures safety for all involved and provides for the best care and welfare of the person in crisis.Keywords:  healthcare, human services, mental health, psychiatric disabilities, substance abuse, addiction, therapy, recovery, crisis intervention, LICSW, LPHA, managed care, treatment supports, social services, treatment plans, assessments, Social Worker, Social Work, Mental Health Counselor, Mental Health Clinician,  Licensed Clinician, Community Mental Health
Driving License Required? Yes



Benefits:

Excellent benefits package including health and dental insurance, 403(b) retirement plan, tuition reimbursement/remission, paid vacation & holidays, sick time pay, and employee referral bonuses.



TO APPLY:

Apply online by going to https://www.baycove/org/apply/index.cfm?pid=10236.


Bay Cove Human Services, 66 Canal Street, Boston, MA 02114 


Bay Cove is an Equal Opportunity/Affirmative Action Employer
"
39,"Clinical Supervisor, LPHA (ACCS Team 3)",Dorchester,Dec  7,https://boston.craigslist.org/gbs/npo/d/dorchester-center-clinical-supervisor/7243210690.html,"
compensation: To Be Determined

employment type: full-time

","

QR Code Link to This Post




Recognized by the Boston Globe as one of the Top Places To Work, Bay Cove Human Services is a private, not-for-profit corporation that provides a wide variety of services to individuals and their families who face the life-long challenges of developmental disabilities, aging, mental illness and drug and alcohol addiction. We have a wide variety of programs available to our clients including residential services, employment support, and day habilitation programs. Bay Cove's 2,000 highly trained employees serve more than 20,000 individuals and their families each year at more than 160 different program sites throughout Greater Boston and southeastern Massachusetts. 





Requisition #10233
Clinical Supervisor, LPHA - ACCS - Team 3 (ACCS Team 3, Dorchester)
Schedule: Monday through Friday 9am-5pm
Salary: TBD




Responsibilities:

	Perform as the Primary Clinician as assigned by the ACCS Integrated Team Director for a caseload not to exceed 28 Persons and as the Primary Clinician on the Engagement Team of each assigned Person
	Identify engagement strategies considering the Person’s situation and preferences, and review and revise engagement strategies as necessary.
	Responsible for each assigned person’s clinical assessments and treatment plans. 
	Provide guidance, feedback, and training to supervisees to insure the knowledgeable incorporation of evidence based practices and philosophies into engagement strategies, treatment planning and the selection of interventions based on each Persons’ assessed readiness and expressed interest in order to support long-term recovery.  These practices include but are not limited to; Screening, Brief Intervention, and Referral for Treatment (SBIRT), Stages of Change, Motivational Interviewing, Harm Reduction, Seeking Safety and Trauma Recovery and Empowerment Model (TREM) 
	Utilize recovery-oriented language and principles in all communication and interactions with Persons, colleagues, and collaterals.
	Develop safety plans for the Person and clinical risk response plans as indicated for the members of the Person’s Engagement Team; plans will be built on the Person's strengths and preferences that identify strategies the Person and the Engagement Team will utilize to address and mitigate risks.  Responsible for reviewing and revising the safety plans and the clinical risk response plans as needed.
	Provide supervision of assigned Program Managers and Engagement Partners, including hiring, training, progressive disciplinary action, and evaluation 
	Collaborate with Care Coordination Entities and other providers to ensure access to appropriate medical, clinical, self-help, and peer modalities during times of crisis, care transitions, other life transitions and changes in health status.
	Contribute to the overall functioning of the Integrated Team by sharing in the administrative responsibilities and on-call coverage on a rotating basis as assigned.
	Complete all assigned documentation, including assessments, treatment plans, service notes, incident reports in a thorough and timely manner. 
	Provide crisis assessment, prevention, and needed intervention during the work day and while on-call on nights and weekends as scheduled.
	Perform other duties as assigned by supervisor

Qualifications:

	Master’s degree in social work, psychology, counseling or related field required.
	LICSW, LCSW, LMHC, or other behavioral health category which qualifies as Licensed Practitioner of the Healing Arts required.
	At least two years of experience providing services to adults with mental health challenges.
	At least one year of supervisory and management experience preferred
	Demonstrated expertise in team building and facilitating group processes.
	Strong commitment to the right of each Person with mental health challenges to live in community residences, to work in market jobs, and to have access to helpful, adequate, competent, and continuous supports and services of their own choosing.
	Flexibility to work evenings and weekends on an as needed basis.
	Professional writing and verbal communications skills.
	High degree of personal organization, attention to detail, and time management skills.
	Proficiency in word processing and other computer functions using Windows, Word, and Google Email and Apps.
	Department of Public Health certification in medication administration required within 3 months of hire.  
	CPR and First Aid certification required within 3 months of hire.
	Ability to climb stairs and carry up to 40 pounds, as well as the physical capacity to assist people with mobility impairments as needed.
	Use of personal cellular telephone for work communication.
	Valid driver's license preferred.
	Bilingual candidates encouraged to apply, pay differential offered for candidates with fluency in certain essential languages.
Driving License Required? Yes



Benefits:

Excellent benefits package including health and dental insurance, 403(b) retirement plan, tuition reimbursement/remission, paid vacation & holidays, sick time pay, and employee referral bonuses.



TO APPLY:

Apply online by going to https://www.baycove/org/apply/index.cfm?pid=10233.


Bay Cove Human Services, 66 Canal Street, Boston, MA 02114 


Bay Cove is an Equal Opportunity/Affirmative Action Employer
"
